Carimbo de data/hora,Idade:,"
Sexo:  ",Semestre que está cursando:,Renda Familiar: ,Período:,Você trabalha? ,Mora com quem?,Tempo de estudo diário(horas):,A infraestrutura das salas de aula e de estudo é adequada?,"A infraestrutura das bibliotecas é boa (sala de estudos, acervo, atendimento, etc) ?",Como você avalia a estrutura geral da universidade?,Como você avalia a internet da universidade?,Como você avalia o laboratório da universidade?,Como você avalia a qualidade de ensino?,O atendimento nas secretarias é bom?,"No geral, a relação professor aluno é boa e favorece o processo de ensino-
aprendizagem?",Você se dedica as disciplinas mais de 3 horas por semana fora da sala de aula?,Você participa intensamente dos trabalhos em classe e fora de classe?,Você participa de mais de 70% das aulas?
10/07/2024 20:03:25,21 a 30 anos,Feminino,5°,Entre 1 e 3 salários minímos,Diurno,Não,Família,4 a 5 horas,Não,Não,Ruim,Ruim,Ruim,Boa,Não,Sim,Sim,Sim,Sim
10/07/2024 20:27:53,17 a 20 anos,Feminino,4°,Entre 1 e 3 salários minímos,Diurno,Não,Família,Acima de 5 horas,Sim,Sim,Regular,Ruim,Ruim,Boa,Não,Não,Sim,Sim,Sim
10/07/2024 20:42:06,17 a 20 anos,Feminino,4°,Entre 1 e 3 salários minímos,Diurno,Não,Família,Acima de 5 horas,Sim,Sim,Regular,Ruim,Regular,Boa,Sim,Não,Sim,Sim,Sim
10/07/2024 20:49:00,21 a 30 anos,Masculino,5°,Menor que 1 salário minímo,Diurno,Não,Família,4 a 5 horas,Não,Não,Ruim,Ruim,Ruim,Regular,Não,Sim,Sim,Sim,Sim
10/07/2024 21:57:53,21 a 30 anos,Feminino,4°,Entre 1 e 3 salários minímos,Diurno,Não,Amigos,2 a 3 horas,Sim,Sim,Regular,Regular,Regular,Boa,Sim,Sim,Não,Sim,Sim
11/07/2024 06:29:03,21 a 30 anos,Feminino,7°,Entre 1 e 3 salários minímos,Diurno,Não,Família,Acima de 5 horas,Sim,Sim,Regular,Ruim,Regular,Boa,Não,Sim,Sim,Não,Sim
11/07/2024 10:03:55,21 a 30 anos,Feminino,10°,Entre 1 e 3 salários minímos,Diurno,Não,Só,Acima de 5 horas,Sim,Não,Regular,Regular,Regular,Boa,Não,Sim,Sim,Sim,Sim
11/07/2024 16:23:04,21 a 30 anos,Masculino,10°,Entre 1 e 3 salários minímos,Diurno,Sim,Família,2 a 3 horas,Sim,Sim,Regular,Regular,Regular,Boa,Não,Não,Sim,Sim,Sim
12/07/2024 11:26:15,21 a 30 anos,Masculino,8°,Entre 1 e 3 salários minímos,Diurno,Sim,Amigos,2 a 3 horas,Sim,Sim,Regular,Ruim,Regular,Boa,Sim,Não,Sim,Não,Sim
12/07/2024 11:36:34,21 a 30 anos,Masculino,5°,Entre 1 e 3 salários minímos,Diurno,Não,Amigos,0 a 1 horas,Não,Não,Regular,Ruim,Ruim,Regular,Não,Sim,Sim,Não,Sim
12/07/2024 12:18:09,21 a 30 anos,Feminino,7°,Entre 1 e 3 salários minímos,Diurno,Sim,Só,2 a 3 horas,Sim,Sim,Regular,Regular,Regular,Boa,Sim,Sim,Sim,Não,Sim
12/07/2024 12:27:40,21 a 30 anos,Masculino,9°,Entre 4 e 6 salários minímos,Diurno,Sim,Família,0 a 1 horas,Sim,Não,Regular,Regular,Regular,Boa,Sim,Não,Sim,Sim,Sim
12/07/2024 12:38:05,21 a 30 anos,Masculino,7°,Acima de 6 salários minímos,Noturno,Sim,Só,2 a 3 horas,Sim,Sim,Regular,Regular,Ruim,Boa,Não,Não,Sim,Não,Sim
12/07/2024 13:06:42,17 a 20 anos,Masculino,4°,Entre 1 e 3 salários minímos,Diurno,Não,Família,Acima de 5 horas,Não,Sim,Regular,Regular,Ruim,Regular,Sim,Não,Sim,Sim,Sim
12/07/2024 22:27:16,21 a 30 anos,Feminino,5°,Menor que 1 salário minímo,Diurno,Não,Família,4 a 5 horas,Não,Não,Ruim,Ruim,Ruim,Regular,Não,Não,Sim,Sim,Sim
12/07/2024 22:31:17,21 a 30 anos,Masculino,8°,Entre 4 e 6 salários minímos,Diurno,Não,Família,2 a 3 horas,Sim,Sim,Regular,Regular,Regular,Boa,Sim,Sim,Sim,Sim,Sim
12/07/2024 22:36:03,21 a 30 anos,Feminino,5°,Entre 1 e 3 salários minímos,Diurno,Não,Família,2 a 3 horas,Sim,Sim,Regular,Regular,Regular,Regular,Sim,Não,Não,Não,Sim
12/07/2024 22:56:58,17 a 20 anos,Masculino,3°,Menor que 1 salário minímo,Diurno,Não,Só,4 a 5 horas,Não,Não,Regular,Ruim,Ruim,Regular,Não,Sim,Sim,Sim,Sim
12/07/2024 22:57:04,21 a 30 anos,Masculino,8°,Entre 4 e 6 salários minímos,Diurno,Não,Só,2 a 3 horas,Sim,Sim,Regular,Regular,Regular,Boa,Sim,Sim,Sim,Sim,Sim
12/07/2024 23:10:46,21 a 30 anos,Masculino,7°,Acima de 6 salários minímos,Diurno,Sim,Família,2 a 3 horas,Não,Não,Ruim,Regular,Ruim,Regular,Sim,Não,Sim,Sim,Sim
12/07/2024 23:16:59,21 a 30 anos,Feminino,4°,Menor que 1 salário minímo,Diurno,Não,Amigos,Acima de 5 horas,Sim,Não,Regular,Ruim,Ruim,Regular,Não,Sim,Sim,Sim,Sim
12/07/2024 23:25:11,21 a 30 anos,Masculino,6°,Entre 1 e 3 salários minímos,Diurno,Sim,Família,2 a 3 horas,Sim,Sim,Regular,Ruim,Regular,Regular,Não,Sim,Sim,Não,Sim
12/07/2024 23:28:28,21 a 30 anos,Feminino,6°,Entre 1 e 3 salários minímos,Diurno,Não,Só,4 a 5 horas,Sim,Não,Regular,Ruim,Regular,Boa,Não,Sim,Sim,Sim,Sim
13/07/2024 04:35:46,21 a 30 anos,Feminino,6°,Entre 1 e 3 salários minímos,Diurno,Sim,Família,2 a 3 horas,Sim,Sim,Regular,Ruim,Ruim,Boa,Sim,Não,Não,Sim,Sim
13/07/2024 07:24:13,17 a 20 anos,Feminino,1°,Entre 4 e 6 salários minímos,Diurno,Não,Família,4 a 5 horas,Sim,Sim,Regular,Regular,Boa,Boa,Sim,Sim,Sim,Sim,Sim
13/07/2024 09:29:30,17 a 20 anos,Feminino,5°,Entre 4 e 6 salários minímos,Diurno,Não,Amigos,2 a 3 horas,Sim,Não,Regular,Ruim,Regular,Regular,Sim,Sim,Sim,Sim,Sim
13/07/2024 10:24:14,21 a 30 anos,Masculino,11°,Entre 1 e 3 salários minímos,Diurno,Sim,Família,2 a 3 horas,Sim,Sim,Regular,Ruim,Regular,Boa,Sim,Sim,Não,Não,Sim
14/07/2024 08:03:40,21 a 30 anos,Feminino,5°,Acima de 6 salários minímos,Diurno,Não,Família,2 a 3 horas,Sim,Sim,Regular,Boa,Boa,Boa,Sim,Sim,Sim,Sim,Sim
14/07/2024 16:27:41,21 a 30 anos,Feminino,8°,Menor que 1 salário minímo,Diurno,Não,Só,4 a 5 horas,Não,Sim,Regular,Ruim,Regular,Boa,Sim,Sim,Sim,Sim,Sim
14/07/2024 16:32:45,17 a 20 anos,Masculino,3°,Entre 1 e 3 salários minímos,Diurno,Sim,Amigos,2 a 3 horas,Não,Sim,Regular,Regular,Ruim,Regular,Sim,Não,Não,Não,Sim
14/07/2024 18:30:04,21 a 30 anos,Feminino,7°,Entre 4 e 6 salários minímos,Diurno,Sim,Família,2 a 3 horas,Sim,Sim,Regular,Regular,Regular,Regular,Sim,Sim,Não,Não,Sim
14/07/2024 18:44:29,21 a 30 anos,Masculino,8°,Entre 1 e 3 salários minímos,Diurno,Sim,Amigos,2 a 3 horas,Sim,Sim,Boa,Ruim,Regular,Boa,Sim,Sim,Sim,Não,Não
14/07/2024 18:46:18,21 a 30 anos,Feminino,6°,Entre 1 e 3 salários minímos,Diurno,Sim,Família,2 a 3 horas,Não,Não,Regular,Ruim,Regular,Boa,Não,Sim,Sim,Sim,Sim
14/07/2024 18:48:03,21 a 30 anos,Feminino,11°,Entre 1 e 3 salários minímos,Diurno,Não,Família,4 a 5 horas,Sim,Sim,Regular,Regular,Regular,Boa,Sim,Sim,Não,Sim,Sim
14/07/2024 19:00:23,21 a 30 anos,Masculino,7°,Entre 4 e 6 salários minímos,Diurno,Não,Família,0 a 1 horas,Sim,Sim,Boa,Ruim,Regular,Regular,Sim,Sim,Sim,Não,Sim
14/07/2024 19:04:08,21 a 30 anos,Masculino,7°,Entre 1 e 3 salários minímos,Diurno,Não,Família,2 a 3 horas,Sim,Sim,Regular,Ruim,Regular,Regular,Sim,Sim,Sim,Sim,Sim
14/07/2024 19:04:29,21 a 30 anos,Masculino,7°,Entre 4 e 6 salários minímos,Diurno,Não,Só,2 a 3 horas,Sim,Não,Regular,Regular,Regular,Boa,Sim,Sim,Sim,Não,Sim
